#    L    TT             EE             BB             TE          
   216    0.62294E+04    0.91765E+00    0.19630E-01    0.10705E+02
   217    0.62306E+04    0.93988E+00    0.19824E-01    0.12441E+02
   218    0.62311E+04    0.96379E+00    0.20020E-01    0.14190E+02
   219    0.62309E+04    0.98936E+00    0.20216E-01    0.15953E+02
   220    0.62301E+04    0.10167E+01    0.20412E-01    0.17727E+02
   221    0.62286E+04    0.10459E+01    0.20609E-01    0.19512E+02
   222    0.62264E+04    0.10769E+01    0.20806E-01    0.21307E+02
   223    0.62234E+04    0.11098E+01    0.21004E-01    0.23113E+02
   224    0.62199E+04    0.11444E+01    0.21203E-01    0.24926E+02
   225    0.62156E+04    0.11811E+01    0.21402E-01    0.26750E+02
   226    0.62107E+04    0.12198E+01    0.21601E-01    0.28579E+02
   227    0.62050E+04    0.12604E+01    0.21801E-01    0.30416E+02
   228    0.61988E+04    0.13030E+01    0.22001E-01    0.32259E+02
   229    0.61918E+04    0.13477E+01    0.22201E-01    0.34106E+02
   230    0.61842E+04    0.13944E+01    0.22402E-01    0.35958E+02
   231    0.61758E+04    0.14433E+01    0.22603E-01    0.37814E+02
   232    0.61669E+04    0.14943E+01    0.22804E-01    0.39673E+02
   233    0.61572E+04    0.15476E+01    0.23006E-01    0.41533E+02
   234    0.61468E+04    0.16030E+01    0.23208E-01    0.43394E+02
   235    0.61358E+04    0.16606E+01    0.23410E-01    0.45256E+02
   236    0.61241E+04    0.17205E+01    0.23612E-01    0.47117E+02
   237    0.61117E+04    0.17827E+01    0.23815E-01    0.48977E+02
   238    0.60987E+04    0.18472E+01    0.24017E-01    0.50834E+02
   239    0.60851E+04    0.19140E+01    0.24220E-01    0.52690E+02
   240    0.60707E+04    0.19830E+01    0.24423E-01    0.54540E+02
   241    0.60558E+04    0.20546E+01    0.24626E-01    0.56385E+02
   242    0.60402E+04    0.21284E+01    0.24829E-01    0.58226E+02
   243    0.60240E+04    0.22046E+01    0.25032E-01    0.60060E+02
   244    0.60071E+04    0.22833E+01    0.25235E-01    0.61887E+02
   245    0.59895E+04    0.23643E+01    0.25438E-01    0.63706E+02
   246    0.59714E+04    0.24478E+01    0.25641E-01    0.65516E+02
   247    0.59527E+04    0.25337E+01    0.25844E-01    0.67317E+02
   248    0.59334E+04    0.26224E+01    0.26047E-01    0.69106E+02
   249    0.59135E+04    0.27132E+01    0.26250E-01    0.70885E+02
   250    0.58930E+04    0.28067E+01    0.26452E-01    0.72651E+02
   251    0.58719E+04    0.29026E+01    0.26655E-01    0.74405E+02
   252    0.58502E+04    0.30011E+01    0.26857E-01    0.76146E+02
   253    0.58280E+04    0.31020E+01    0.27059E-01    0.77871E+02
   254    0.58053E+04    0.32054E+01    0.27261E-01    0.79581E+02
   255    0.57819E+04    0.33113E+01    0.27463E-01    0.81275E+02
   256    0.57581E+04    0.34199E+01    0.27665E-01    0.82954E+02
   257    0.57338E+04    0.35307E+01    0.27866E-01    0.84609E+02
   258    0.57089E+04    0.36442E+01    0.28067E-01    0.86252E+02
   259    0.56835E+04    0.37601E+01    0.28267E-01    0.87870E+02
