#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   128    0.40116E+04   -0.44625E+02    0.23730E-05   -0.44625E+02    0.12052E+01   -0.10841E-07    0.23730E-05   -0.10841E-07    0.51871E-11
   129    0.40500E+04   -0.45125E+02    0.23328E-05   -0.45125E+02    0.12107E+01   -0.10706E-07    0.23328E-05   -0.10706E-07    0.50774E-11
   130    0.40883E+04   -0.45607E+02    0.22936E-05   -0.45607E+02    0.12156E+01   -0.10573E-07    0.22936E-05   -0.10573E-07    0.49705E-11
   131    0.41266E+04   -0.46072E+02    0.22553E-05   -0.46072E+02    0.12201E+01   -0.10439E-07    0.22553E-05   -0.10439E-07    0.48665E-11
   132    0.41650E+04   -0.46518E+02    0.22178E-05   -0.46518E+02    0.12240E+01   -0.10306E-07    0.22178E-05   -0.10306E-07    0.47653E-11
   133    0.42033E+04   -0.46946E+02    0.21811E-05   -0.46946E+02    0.12273E+01   -0.10173E-07    0.21811E-05   -0.10173E-07    0.46666E-11
   134    0.42416E+04   -0.47353E+02    0.21452E-05   -0.47353E+02    0.12301E+01   -0.10041E-07    0.21452E-05   -0.10041E-07    0.45706E-11
   135    0.42799E+04   -0.47741E+02    0.21101E-05   -0.47741E+02    0.12324E+01   -0.99093E-08    0.21101E-05   -0.99093E-08    0.44770E-11
   136    0.43180E+04   -0.48106E+02    0.20757E-05   -0.48106E+02    0.12340E+01   -0.97780E-08    0.20757E-05   -0.97780E-08    0.43859E-11
   137    0.43561E+04   -0.48450E+02    0.20421E-05   -0.48450E+02    0.12351E+01   -0.96471E-08    0.20421E-05   -0.96471E-08    0.42972E-11
   138    0.43941E+04   -0.48773E+02    0.20092E-05   -0.48773E+02    0.12356E+01   -0.95166E-08    0.20092E-05   -0.95166E-08    0.42108E-11
   139    0.44319E+04   -0.49074E+02    0.19770E-05   -0.49074E+02    0.12357E+01   -0.93866E-08    0.19770E-05   -0.93866E-08    0.41266E-11
   140    0.44698E+04   -0.49352E+02    0.19455E-05   -0.49352E+02    0.12351E+01   -0.92571E-08    0.19455E-05   -0.92571E-08    0.40446E-11
   141    0.45074E+04   -0.49606E+02    0.19147E-05   -0.49606E+02    0.12339E+01   -0.91280E-08    0.19147E-05   -0.91280E-08    0.39648E-11
   142    0.45450E+04   -0.49837E+02    0.18845E-05   -0.49837E+02    0.12322E+01   -0.89993E-08    0.18845E-05   -0.89993E-08    0.38869E-11
   143    0.45825E+04   -0.50045E+02    0.18549E-05   -0.50045E+02    0.12300E+01   -0.88712E-08    0.18549E-05   -0.88712E-08    0.38111E-11
   144    0.46198E+04   -0.50228E+02    0.18259E-05   -0.50228E+02    0.12272E+01   -0.87435E-08    0.18259E-05   -0.87435E-08    0.37371E-11
   145    0.46569E+04   -0.50386E+02    0.17976E-05   -0.50386E+02    0.12240E+01   -0.86163E-08    0.17976E-05   -0.86163E-08    0.36651E-11
   146    0.46941E+04   -0.50520E+02    0.17698E-05   -0.50520E+02    0.12201E+01   -0.84896E-08    0.17698E-05   -0.84896E-08    0.35947E-11
   147    0.47309E+04   -0.50627E+02    0.17426E-05   -0.50627E+02    0.12158E+01   -0.83634E-08    0.17426E-05   -0.83634E-08    0.35262E-11
