#    L    TT             EE             TE             PP             TP          
   237    0.55449E+04    0.15471E+01    0.44360E+02    0.17881E+07    0.16820E+04
   238    0.55341E+04    0.16040E+01    0.46023E+02    0.17796E+07    0.16677E+04
   239    0.55228E+04    0.16629E+01    0.47684E+02    0.17712E+07    0.16536E+04
   240    0.55107E+04    0.17238E+01    0.49342E+02    0.17629E+07    0.16396E+04
   241    0.54982E+04    0.17868E+01    0.50997E+02    0.17546E+07    0.16256E+04
   242    0.54851E+04    0.18519E+01    0.52648E+02    0.17464E+07    0.16118E+04
   243    0.54714E+04    0.19192E+01    0.54294E+02    0.17383E+07    0.15982E+04
   244    0.54571E+04    0.19885E+01    0.55936E+02    0.17302E+07    0.15846E+04
   245    0.54422E+04    0.20601E+01    0.57571E+02    0.17222E+07    0.15711E+04
   246    0.54268E+04    0.21338E+01    0.59200E+02    0.17143E+07    0.15577E+04
   247    0.54109E+04    0.22095E+01    0.60821E+02    0.17064E+07    0.15445E+04
   248    0.53944E+04    0.22878E+01    0.62434E+02    0.16985E+07    0.15313E+04
   249    0.53774E+04    0.23680E+01    0.64038E+02    0.16908E+07    0.15182E+04
   250    0.53599E+04    0.24506E+01    0.65633E+02    0.16830E+07    0.15053E+04
   251    0.53419E+04    0.25352E+01    0.67217E+02    0.16754E+07    0.14924E+04
   252    0.53232E+04    0.26222E+01    0.68791E+02    0.16678E+07    0.14797E+04
   253    0.53042E+04    0.27113E+01    0.70352E+02    0.16602E+07    0.14670E+04
   254    0.52846E+04    0.28027E+01    0.71901E+02    0.16527E+07    0.14544E+04
   255    0.52645E+04    0.28963E+01    0.73437E+02    0.16453E+07    0.14420E+04
   256    0.52440E+04    0.29922E+01    0.74961E+02    0.16379E+07    0.14296E+04
   257    0.52230E+04    0.30902E+01    0.76465E+02    0.16306E+07    0.14173E+04
   258    0.52015E+04    0.31906E+01    0.77960E+02    0.16233E+07    0.14051E+04
   259    0.51795E+04    0.32932E+01    0.79432E+02    0.16160E+07    0.13930E+04
   260    0.51572E+04    0.33981E+01    0.80897E+02    0.16089E+07    0.13810E+04
   261    0.51343E+04    0.35050E+01    0.82331E+02    0.16017E+07    0.13691E+04
   262    0.51110E+04    0.36144E+01    0.83758E+02    0.15947E+07    0.13573E+04
   263    0.50874E+04    0.37259E+01    0.85168E+02    0.15876E+07    0.13456E+04
   264    0.50633E+04    0.38397E+01    0.86556E+02    0.15807E+07    0.13339E+04
   265    0.50387E+04    0.39555E+01    0.87914E+02    0.15737E+07    0.13223E+04
   266    0.50138E+04    0.40738E+01    0.89264E+02    0.15669E+07    0.13108E+04
   267    0.49884E+04    0.41941E+01    0.90583E+02    0.15600E+07    0.12994E+04
   268    0.49626E+04    0.43167E+01    0.91887E+02    0.15533E+07    0.12881E+04
   269    0.49362E+04    0.44414E+01    0.93168E+02    0.15465E+07    0.12769E+04
   270    0.49097E+04    0.45682E+01    0.94427E+02    0.15398E+07    0.12657E+04
   271    0.48827E+04    0.46971E+01    0.95662E+02    0.15332E+07    0.12546E+04
   272    0.48555E+04    0.48284E+01    0.96867E+02    0.15266E+07    0.12436E+04
