#    L    TT             EE             BB             TE             PP             TP             EP          
   175    0.56128E+04    0.94140E+00    0.00000E+00   -0.42149E+02    0.68201E-07    0.18966E-03   -0.89119E-06
   176    0.56397E+04    0.92888E+00    0.00000E+00   -0.41412E+02    0.67846E-07    0.18810E-03   -0.87696E-06
   177    0.56661E+04    0.91641E+00    0.00000E+00   -0.40645E+02    0.67494E-07    0.18657E-03   -0.86262E-06
   178    0.56920E+04    0.90420E+00    0.00000E+00   -0.39846E+02    0.67145E-07    0.18504E-03   -0.84818E-06
   179    0.57174E+04    0.89197E+00    0.00000E+00   -0.39016E+02    0.66798E-07    0.18353E-03   -0.83363E-06
   180    0.57424E+04    0.87994E+00    0.00000E+00   -0.38157E+02    0.66454E-07    0.18204E-03   -0.81898E-06
   181    0.57668E+04    0.86813E+00    0.00000E+00   -0.37268E+02    0.66113E-07    0.18055E-03   -0.80424E-06
   182    0.57906E+04    0.85659E+00    0.00000E+00   -0.36348E+02    0.65775E-07    0.17908E-03   -0.78939E-06
   183    0.58139E+04    0.84528E+00    0.00000E+00   -0.35399E+02    0.65439E-07    0.17763E-03   -0.77445E-06
   184    0.58367E+04    0.83426E+00    0.00000E+00   -0.34419E+02    0.65106E-07    0.17619E-03   -0.75942E-06
   185    0.58590E+04    0.82370E+00    0.00000E+00   -0.33412E+02    0.64776E-07    0.17476E-03   -0.74431E-06
   186    0.58804E+04    0.81345E+00    0.00000E+00   -0.32373E+02    0.64448E-07    0.17334E-03   -0.72910E-06
   187    0.59015E+04    0.80366E+00    0.00000E+00   -0.31306E+02    0.64123E-07    0.17193E-03   -0.71382E-06
   188    0.59221E+04    0.79432E+00    0.00000E+00   -0.30210E+02    0.63800E-07    0.17054E-03   -0.69845E-06
   189    0.59419E+04    0.78548E+00    0.00000E+00   -0.29086E+02    0.63480E-07    0.16916E-03   -0.68300E-06
   190    0.59615E+04    0.77720E+00    0.00000E+00   -0.27934E+02    0.63163E-07    0.16779E-03   -0.66748E-06
   191    0.59802E+04    0.76949E+00    0.00000E+00   -0.26753E+02    0.62848E-07    0.16644E-03   -0.65188E-06
   192    0.59983E+04    0.76240E+00    0.00000E+00   -0.25544E+02    0.62535E-07    0.16509E-03   -0.63621E-06
   193    0.60158E+04    0.75597E+00    0.00000E+00   -0.24310E+02    0.62225E-07    0.16376E-03   -0.62048E-06
   194    0.60329E+04    0.75023E+00    0.00000E+00   -0.23047E+02    0.61918E-07    0.16244E-03   -0.60468E-06
   195    0.60492E+04    0.74522E+00    0.00000E+00   -0.21759E+02    0.61613E-07    0.16113E-03   -0.58882E-06
   196    0.60648E+04    0.74100E+00    0.00000E+00   -0.20444E+02    0.61310E-07    0.15983E-03   -0.57289E-06
   197    0.60800E+04    0.73761E+00    0.00000E+00   -0.19105E+02    0.61009E-07    0.15854E-03   -0.55691E-06
   198    0.60944E+04    0.73508E+00    0.00000E+00   -0.17740E+02    0.60711E-07    0.15726E-03   -0.54088E-06
   199    0.61083E+04    0.73345E+00    0.00000E+00   -0.16350E+02    0.60416E-07    0.15600E-03   -0.52479E-06
   200    0.61216E+04    0.73276E+00    0.00000E+00   -0.14936E+02    0.60123E-07    0.15474E-03   -0.50865E-06
   201    0.61341E+04    0.73306E+00    0.00000E+00   -0.13497E+02    0.59832E-07    0.15349E-03   -0.49247E-06
   202    0.61461E+04    0.73438E+00    0.00000E+00   -0.12036E+02    0.59543E-07    0.15226E-03   -0.47624E-06
   203    0.61573E+04    0.73678E+00    0.00000E+00   -0.10551E+02    0.59257E-07    0.15103E-03   -0.45997E-06
   204    0.61678E+04    0.74029E+00    0.00000E+00   -0.90452E+01    0.58973E-07    0.14982E-03   -0.44365E-06
   205    0.61777E+04    0.74495E+00    0.00000E+00   -0.75169E+01    0.58691E-07    0.14861E-03   -0.42730E-06
   206    0.61868E+04    0.75081E+00    0.00000E+00   -0.59673E+01    0.58411E-07    0.14742E-03   -0.41092E-06
   207    0.61953E+04    0.75789E+00    0.00000E+00   -0.43969E+01    0.58133E-07    0.14623E-03   -0.39450E-06
   208    0.62030E+04    0.76626E+00    0.00000E+00   -0.28063E+01    0.57858E-07    0.14506E-03   -0.37805E-06
   209    0.62100E+04    0.77593E+00    0.00000E+00   -0.11961E+01    0.57584E-07    0.14389E-03   -0.36157E-06
   210    0.62163E+04    0.78697E+00    0.00000E+00    0.43278E+00    0.57313E-07    0.14273E-03   -0.34506E-06
   211    0.62219E+04    0.79941E+00    0.00000E+00    0.20802E+01    0.57044E-07    0.14159E-03   -0.32854E-06
   212    0.62267E+04    0.81329E+00    0.00000E+00    0.37451E+01    0.56777E-07    0.14045E-03   -0.31199E-06
   213    0.62309E+04    0.82866E+00    0.00000E+00    0.54274E+01    0.56512E-07    0.13932E-03   -0.29542E-06
   214    0.62343E+04    0.84550E+00    0.00000E+00    0.71259E+01    0.56249E-07    0.13819E-03   -0.27883E-06
   215    0.62371E+04    0.86403E+00    0.00000E+00    0.88396E+01    0.55987E-07    0.13708E-03   -0.26223E-06
   216    0.62391E+04    0.88406E+00    0.00000E+00    0.10569E+02    0.55728E-07    0.13598E-03   -0.24562E-06
   217    0.62405E+04    0.90575E+00    0.00000E+00    0.12312E+02    0.55471E-07    0.13488E-03   -0.22900E-06
   218    0.62411E+04    0.92911E+00    0.00000E+00    0.14069E+02    0.55215E-07    0.13379E-03   -0.21238E-06
   219    0.62411E+04    0.95413E+00    0.00000E+00    0.15840E+02    0.54962E-07    0.13271E-03   -0.19574E-06
   220    0.62404E+04    0.98097E+00    0.00000E+00    0.17621E+02    0.54710E-07    0.13164E-03   -0.17911E-06
   221    0.62390E+04    0.10096E+01    0.00000E+00    0.19415E+02    0.54460E-07    0.13058E-03   -0.16247E-06
   222    0.62370E+04    0.10401E+01    0.00000E+00    0.21219E+02    0.54212E-07    0.12952E-03   -0.14584E-06
