#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   159    0.51219E+04   -0.49756E+02    0.13588E-05   -0.49756E+02    0.11292E+01   -0.69097E-08    0.13588E-05   -0.69097E-08    0.29200E-11
   160    0.51554E+04   -0.49507E+02    0.13390E-05   -0.49507E+02    0.11192E+01   -0.67908E-08    0.13390E-05   -0.67908E-08    0.28680E-11
   161    0.51885E+04   -0.49229E+02    0.13195E-05   -0.49229E+02    0.11090E+01   -0.66726E-08    0.13195E-05   -0.66726E-08    0.28173E-11
   162    0.52213E+04   -0.48922E+02    0.13004E-05   -0.48922E+02    0.10983E+01   -0.65549E-08    0.13004E-05   -0.65549E-08    0.27677E-11
   163    0.52538E+04   -0.48585E+02    0.12816E-05   -0.48585E+02    0.10874E+01   -0.64378E-08    0.12816E-05   -0.64378E-08    0.27192E-11
   164    0.52859E+04   -0.48218E+02    0.12632E-05   -0.48218E+02    0.10762E+01   -0.63212E-08    0.12632E-05   -0.63212E-08    0.26718E-11
   165    0.53177E+04   -0.47819E+02    0.12451E-05   -0.47819E+02    0.10647E+01   -0.62052E-08    0.12451E-05   -0.62052E-08    0.26255E-11
   166    0.53491E+04   -0.47391E+02    0.12273E-05   -0.47391E+02    0.10530E+01   -0.60898E-08    0.12273E-05   -0.60898E-08    0.25802E-11
   167    0.53802E+04   -0.46933E+02    0.12098E-05   -0.46933E+02    0.10410E+01   -0.59750E-08    0.12098E-05   -0.59750E-08    0.25358E-11
   168    0.54108E+04   -0.46443E+02    0.11927E-05   -0.46443E+02    0.10289E+01   -0.58608E-08    0.11927E-05   -0.58608E-08    0.24925E-11
   169    0.54410E+04   -0.45922E+02    0.11758E-05   -0.45922E+02    0.10166E+01   -0.57472E-08    0.11758E-05   -0.57472E-08    0.24500E-11
   170    0.54709E+04   -0.45372E+02    0.11592E-05   -0.45372E+02    0.10042E+01   -0.56341E-08    0.11592E-05   -0.56341E-08    0.24085E-11
   171    0.55002E+04   -0.44789E+02    0.11430E-05   -0.44789E+02    0.99181E+00   -0.55217E-08    0.11430E-05   -0.55217E-08    0.23679E-11
   172    0.55290E+04   -0.44175E+02    0.11270E-05   -0.44175E+02    0.97924E+00   -0.54099E-08    0.11270E-05   -0.54099E-08    0.23282E-11
   173    0.55573E+04   -0.43530E+02    0.11113E-05   -0.43530E+02    0.96655E+00   -0.52986E-08    0.11113E-05   -0.52986E-08    0.22894E-11
   174    0.55853E+04   -0.42856E+02    0.10958E-05   -0.42856E+02    0.95403E+00   -0.51880E-08    0.10958E-05   -0.51880E-08    0.22514E-11
   175    0.56128E+04   -0.42149E+02    0.10806E-05   -0.42149E+02    0.94140E+00   -0.50780E-08    0.10806E-05   -0.50780E-08    0.22142E-11
   176    0.56397E+04   -0.41412E+02    0.10657E-05   -0.41412E+02    0.92888E+00   -0.49686E-08    0.10657E-05   -0.49686E-08    0.21778E-11
